cohort,cancer,cancer_label,rank,source,source_label,modality,relation,interpretation,a,lcb,expected,evidence_class
control,icd_182,Malignant neoplasm of body of uterus,3,icd_627,Menopausal and postmenopausal disorders,icd,within,clinical precursor,2.1453138624260424,1.662479472110836,17.15787897833161,positive control: same organ system
control,icd_182,Malignant neoplasm of body of uterus,4,icd_622,Noninflammatory disorders of cervix,icd,within,clinical precursor,2.0787773483019407,1.5084550723676275,12.29757052071102,positive control: same organ system
control,icd_182,Malignant neoplasm of body of uterus,5,icd_V72,Special investigations and examinations,icd,within,clinical precursor,1.7556557559525858,1.496517579361934,59.56582952316603,care pathway: screening encounter
control,icd_182,Malignant neoplasm of body of uterus,6,icd_620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",icd,within,clinical precursor,2.037034024242919,1.390968788726095,9.583127060018796,positive control: same organ system
control,icd_171,Malignant neoplasm of connective and other soft tissue,1,lab_5898-2_NORMAL,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - normal,lab,across,laboratory,1.6115284197366422,1.193346149731518,22.87329650893025,cross-system candidate
control,icd_171,Malignant neoplasm of connective and other soft tissue,2,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,1.6301039964520787,1.1858335797923574,20.265867601011223,cross-system candidate
control,icd_171,Malignant neoplasm of connective and other soft tissue,3,lab_3173-2_NORMAL,aPTT in Blood by Coagulation assay - normal,lab,across,laboratory,1.526664169429205,1.0878400680907905,20.772035066996068,cross-system candidate
control,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,1,icd_593,Other disorders of kidney and ureter,icd,within,clinical precursor,4.294568858964032,3.9461859957430176,32.956905223300055,positive control: same organ system
control,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,2,icd_753,Congenital anomalies of urinary system,icd,within,clinical precursor,3.803730887077456,2.757573113027802,3.6548168458093073,cross-system candidate
control,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,3,icd_591,Hydronephrosis,icd,within,clinical precursor,2.7623590379734466,1.535360475246598,2.656879655583225,positive control: same organ system
control,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,4,icd_592,Calculus of kidney and ureter,icd,within,clinical precursor,2.066630081342593,1.2689091109700672,6.28576258525095,positive control: same organ system
control,icd_188,Malignant neoplasm of bladder,1,icd_599,Other disorders of urethra and urinary tract,icd,within,clinical precursor,2.596312417833038,2.128747298429672,18.29682697271437,positive control: same organ system
control,icd_188,Malignant neoplasm of bladder,2,icd_596,Other disorders of bladder,icd,within,clinical precursor,2.8889851554545003,1.9312666304458348,4.3609812088760975,positive control: same organ system
control,icd_188,Malignant neoplasm of bladder,3,icd_591,Hydronephrosis,icd,within,clinical precursor,2.83765924800689,1.5510931920345594,2.416550154965165,positive control: same organ system
control,icd_188,Malignant neoplasm of bladder,4,icd_593,Other disorders of kidney and ureter,icd,within,clinical precursor,2.397102632407715,1.4175548902645991,4.168778069654024,positive control: same organ system
control,icd_205,Myeloid leukemia,1,icd_284,Aplastic anemia and other bone marrow failure syndromes,icd,within,clinical precursor,4.514296570791606,3.220462221163713,2.3894758057450645,positive control: same organ system
control,icd_205,Myeloid leukemia,2,icd_288,Diseases of white blood cells,icd,within,clinical precursor,3.720211468238479,3.0438962483123904,8.745037363667052,positive control: same organ system
control,icd_205,Myeloid leukemia,3,lab_2532-0_HIGH,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma - high,lab,across,laboratory,4.141064894300283,2.823863485616076,2.305449525109452,cross-system candidate
control,icd_205,Myeloid leukemia,4,lab_737-7_LOW,Lymphocytes/Leukocytes in Blood by Manual count - low,lab,across,laboratory,2.9299714859854555,2.123230669749283,6.145991155615548,cross-system candidate
control,icd_205,Myeloid leukemia,5,lab_714-6_NORMAL,Eosinophils/Leukocytes in Blood by Manual count - normal,lab,across,laboratory,2.774130679312863,2.083604532615769,8.388797981102016,cross-system candidate
control,icd_205,Myeloid leukemia,6,med_8591,potassium chloride,med,across,medication,2.139242950823879,1.4461074242990115,8.32575588717657,cross-system candidate
control,icd_157,Malignant neoplasm of pancreas,1,icd_577,Diseases of pancreas,icd,within,clinical precursor,4.496389628205355,4.105708728420985,26.20689886814125,positive control: same organ system
control,icd_157,Malignant neoplasm of pancreas,2,icd_576,Other disorders of biliary tract,icd,within,clinical precursor,4.255035793350865,3.4947664046515947,6.920300963403292,cross-system candidate
control,icd_157,Malignant neoplasm of pancreas,3,icd_573,Other disorders of liver,icd,within,clinical precursor,2.4664324331595724,1.3928163306219734,3.4702595505766567,cross-system candidate
control,icd_157,Malignant neoplasm of pancreas,4,lab_6768-6_HIGH,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma - high,lab,across,laboratory,2.437484948703489,1.3197236167961084,3.2015613499704187,cross-system candidate
control,icd_203,Multiple myeloma and immunoproliferative neoplasms,1,lab_33944-0_NORMAL,Lambda light chains.free [Mass/volume] in Serum or Plasma - normal,lab,across,laboratory,5.871168411829341,4.774092285920943,3.323429441484336,positive control: tumour marker ordering
control,icd_203,Multiple myeloma and immunoproliferative neoplasms,2,lab_36916-5_NORMAL,Kappa light chains.free [Mass/volume] in Serum - normal,lab,across,laboratory,5.875880606767054,4.612137885528598,2.5046246869777637,positive control: tumour marker ordering
control,icd_203,Multiple myeloma and immunoproliferative neoplasms,3,lab_2465-3_HIGH,IgG [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,5.59698442854519,4.557687153657419,3.703227682625197,positive control: paraprotein workup panel
control,icd_203,Multiple myeloma and immunoproliferative neoplasms,4,lab_2458-8_LOW,IgA [Mass/volume] in Serum or Plasma - low,lab,across,laboratory,5.477275097207579,4.435419237303137,3.6850612761832906,positive control: paraprotein workup panel
control,icd_203,Multiple myeloma and immunoproliferative neoplasms,5,icd_273,Disorders of plasma protein metabolism,icd,within,clinical precursor,4.703457613775353,4.276263123336839,21.918392790397547,positive control: same organ system
control,icd_203,Multiple myeloma and immunoproliferative neoplasms,6,lab_2874-6_HIGH,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis - high,lab,across,laboratory,5.183124671906787,4.12957485191286,3.603710016260521,positive control: tumour marker ordering
control,icd_154,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",1,icd_569,Other disorders of intestine,icd,within,clinical precursor,2.8852327292119813,2.2847713772630907,11.0940436896351,positive control: same organ system
control,icd_180,Malignant neoplasm of cervix uteri,1,icd_622,Noninflammatory disorders of cervix,icd,within,clinical precursor,3.609188358298263,3.213332906598736,25.52623308430566,positive control: same organ system
control,icd_180,Malignant neoplasm of cervix uteri,2,icd_795,"Other and nonspecific abnormal cytological, histological, immunological and DNA test findings",icd,within,clinical precursor,2.493921796151427,1.877345405949003,10.521707144545417,cross-system candidate
control,icd_180,Malignant neoplasm of cervix uteri,3,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.116962064839318,1.2480306408651105,5.297719803492271,positive control: tumour marker ordering
control,icd_180,Malignant neoplasm of cervix uteri,4,icd_623,Noninflammatory disorders of vagina,icd,within,clinical precursor,2.4377156441934287,1.1857044132559,2.551781837741089,positive control: same organ system
control,icd_170,Malignant neoplasm of bone and articular cartilage,1,icd_733,Other disorders of bone and cartilage,icd,within,clinical precursor,2.342140170274253,1.8536294315816304,16.76145676808551,cross-system candidate
control,icd_204,Lymphoid leukemia,1,icd_288,Diseases of white blood cells,icd,within,clinical precursor,3.026892376372108,1.869157327935328,2.9842941618317558,positive control: same organ system
control,icd_204,Lymphoid leukemia,2,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,1.9346049924049096,1.430822008048161,15.760609248574156,cross-system candidate
control,icd_204,Lymphoid leukemia,3,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,2.090038897395538,1.4105810933276457,8.66433047780447,cross-system candidate
control,icd_204,Lymphoid leukemia,4,lab_777-3_LOW,Platelets [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.224393541215023,1.2770822625437617,4.457327812150311,cross-system candidate
control,icd_204,Lymphoid leukemia,5,lab_764-1_NORMAL,Band form neutrophils/Leukocytes in Blood by Manual count - normal,lab,across,laboratory,2.379450248061953,1.2228476374134576,2.990140909727188,cross-system candidate
control,icd_204,Lymphoid leukemia,6,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,1.6963649004487018,1.101730292856402,11.312526991882578,cross-system candidate
control,icd_150,Malignant neoplasm of esophagus,1,icd_530,Diseases of esophagus,icd,within,clinical precursor,2.700792926684307,2.215451208247993,16.9810579604233,positive control: same organ system
control,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,1,icd_573,Other disorders of liver,icd,within,clinical precursor,4.58163031291733,4.111880662283783,18.127046957578383,positive control: same organ system
control,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,2,icd_571,Chronic liver disease and cirrhosis,icd,within,clinical precursor,3.244027841945877,2.438049452272322,6.15762442842157,positive control: same organ system
control,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,3,icd_070,Viral hepatitis,icd,within,clinical precursor,3.162400101766649,2.384753459199259,6.614475142875335,cross-system candidate
control,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,4,icd_576,Other disorders of biliary tract,icd,within,clinical precursor,3.510993426689335,2.121485321519563,2.071752265863367,positive control: same organ system
control,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,5,lab_1975-2_HIGH,Bilirubin.total [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,2.8739253309041106,1.6451751861976387,2.649310296435061,cross-system candidate
control,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,6,lab_6768-6_HIGH,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma - high,lab,across,laboratory,2.770798594175138,1.5787395260795312,2.814909519343942,cross-system candidate
control,icd_151,Malignant neoplasm of stomach,1,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,1.7318918107931474,1.1328592082764462,11.14702748769946,cross-system candidate
control,icd_151,Malignant neoplasm of stomach,2,icd_578,Gastrointestinal hemorrhage,icd,within,clinical precursor,2.241205195024466,1.0738202193597748,2.9351600800121105,cross-system candidate
control,icd_151,Malignant neoplasm of stomach,3,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,1.6741397553841604,1.0280919327598812,9.583643654006778,cross-system candidate
control,icd_151,Malignant neoplasm of stomach,4,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,1.841345139737544,1.0146335782135796,5.852642124294789,cross-system candidate
control,icd_201,Hodgkin's disease,1,icd_785,Symptoms involving cardiovascular system,icd,within,clinical precursor,2.1913921796253866,1.488180351936986,8.088866313999347,positive control: same organ system
control,icd_161,Malignant neoplasm of larynx,1,icd_478,Other diseases of upper respiratory tract,icd,within,clinical precursor,3.274557423985017,2.202588186237139,3.480930450587266,positive control: same organ system
control,icd_161,Malignant neoplasm of larynx,2,icd_784,Symptoms involving head and neck,icd,within,clinical precursor,1.926540649011401,1.1303296440730175,6.30962631984346,cross-system candidate
control,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,1,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.130133957593639,1.501018208368313,10.106455696091984,cross-system candidate
