cohort,cancer,cancer_label,rank,source,source_label,modality,relation,interpretation,a,lcb,expected,evidence_class
full,icd_C44,Other and unspecified malignant neoplasm of skin,6,icd_E78,Disorders of lipoprotein metabolism and other lipidemias,icd,within,clinical precursor,3.821460739947694,2.8531789116245925,4.266349482078255,cross-system candidate
full,icd_186,Malignant neoplasm of testis,1,icd_608,Other disorders of male genital organs,icd,within,clinical precursor,4.26814374331239,3.389093169854844,5.176452916643257,positive control: same organ system
full,icd_156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,1,icd_576,Other disorders of biliary tract,icd,within,clinical precursor,4.652074751277526,3.48676255182814,2.945611083340509,positive control: same organ system
full,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,1,icd_789,Other symptoms involving abdomen and pelvis,icd,within,clinical precursor,2.008642447499722,1.2884768365222057,7.712500989037608,cross-system candidate
full,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,2,icd_V72,Special investigations and examinations,icd,within,clinical precursor,1.794840835237797,1.1195321700238805,8.771125933308099,care pathway: screening encounter
full,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,3,lab_5898-2_NORMAL,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - normal,lab,across,laboratory,1.8924013440101648,1.0569360597962143,5.730640625943124,cross-system candidate
full,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,4,lab_3173-2_NORMAL,aPTT in Blood by Coagulation assay - normal,lab,across,laboratory,1.8794114699140687,1.0335720133390387,5.590930723059046,cross-system candidate
full,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,5,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,1.916287437531668,1.0304160825294415,5.097047415722045,cross-system candidate
full,icd_208,Leukemia of unspecified cell type,1,lab_777-3_LOW,Platelets [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.7237139218576822,1.52395469777584,2.778892816684504,cross-system candidate
full,icd_208,Leukemia of unspecified cell type,2,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.1699634119038125,1.4429177010671044,7.567223443945295,cross-system candidate
full,icd_208,Leukemia of unspecified cell type,3,lab_714-6_NORMAL,Eosinophils/Leukocytes in Blood by Manual count - normal,lab,across,laboratory,2.7370964110205813,1.354152963258167,2.091467639525717,cross-system candidate
full,icd_208,Leukemia of unspecified cell type,4,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,2.319230835647988,1.33910054973475,4.163824087441554,cross-system candidate
full,icd_208,Leukemia of unspecified cell type,5,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,2.1039979136838456,1.3163314632073024,6.447261654588488,cross-system candidate
full,icd_208,Leukemia of unspecified cell type,6,lab_707-0_NORMAL,Basophils/Leukocytes in Blood by Manual count - normal,lab,across,laboratory,2.7014009799632963,1.312526770558934,2.073643833400851,cross-system candidate
full,icd_152,"Malignant neoplasm of small intestine, including duodenum",1,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,1.908022473480309,1.0766662808168324,5.787429571792927,cross-system candidate
full,icd_163,Malignant neoplasm of pleura,1,icd_511,Pleurisy,icd,within,clinical precursor,3.557657630122552,2.76876664142996,6.42726195616703,positive control: same organ system
full,icd_C61,Malignant neoplasm of prostate,1,icd_Z00,"Encounter for general examination without complaint, suspected or reported diagnosis",icd,within,clinical precursor,2.9662877532434773,1.665560132886717,2.3642166229222994,care pathway: screening encounter
full,icd_C61,Malignant neoplasm of prostate,2,proc_99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/d...",proc,across,care pathway,2.9734032980569007,1.5743662731185244,2.043626733328864,care pathway
full,icd_C61,Malignant neoplasm of prostate,3,proc_99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the enco...",proc,across,care pathway,2.773484144484572,1.533713082063354,2.602417680660721,care pathway
full,icd_C61,Malignant neoplasm of prostate,4,proc_99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter...",proc,across,care pathway,2.594639951453991,1.447975614902116,3.0421973287908486,care pathway
