analyte,label,state,cancer,cancer_label,a_abnormal,a_normal,state_contrast,z,expected_abnormal,expected_normal,n_abnormal
785-6,MCH [Entitic mass] by Automated count,HIGH,icd_174,Malignant neoplasm of female breast,0.4860325207165918,0.043622719883614436,0.4424098008329774,0.5764023526450888,2.215261010161214,7.262264970447859,488.5555419921875
6777-7,Deprecated Glucose [Mass/volume] in Serum or Plasma,HIGH,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,1.0620354863051338,0.6205153786250027,0.44152010768013106,0.5030819249630154,2.0122744334325233,3.65917805950383,852.3438110351562
2345-7,Glucose [Mass/volume] in Serum or Plasma,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.3934440181720489,1.0336368458510767,0.35980717232097215,0.5799599502233493,3.879433010787807,7.86617595012126,830.517822265625
6777-7,Deprecated Glucose [Mass/volume] in Serum or Plasma,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.3864123349616566,1.0279654881579516,0.358446846803705,0.5910473487741192,4.09491747887958,8.09132688704284,852.3438110351562
6690-2,Leukocytes [#/volume] in Blood by Automated count,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.2831731864724825,1.049921996132992,0.2332511903394905,0.36846946146758225,3.4834342050162377,8.798912733743236,839.6494140625
718-7,Hemoglobin [Mass/volume] in Blood,LOW,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.1983698336123854,1.0452670850707828,0.15310274854160255,0.25831302745382395,4.388435433466839,8.102120587910633,1175.45703125
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,LOW,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.176661556147166,1.0357334173210422,0.14092813882612387,0.24281201814500267,5.092783820469776,7.117027174453938,1415.839599609375
789-8,Erythrocytes [#/volume] in Blood by Automated count,LOW,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.0509996513446673,1.1102050879036343,-0.05920543655896693,-0.09974940293534677,4.220049745213032,8.67093668028133,1291.944091796875
788-0,Erythrocyte [DistWidth] in Red Blood Cells by Automated count,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",0.9567649587662059,1.1280349410143664,-0.17126998224816048,-0.22396903717925,2.0314679738454515,10.808813693273692,642.40185546875
789-8,Erythrocytes [#/volume] in Blood by Automated count,LOW,icd_191,Malignant neoplasm of brain,1.225943940163677,1.4275600539266318,-0.20161611376295485,-0.24021742165074045,2.0187619388906057,4.782794528805994,1291.944091796875
3173-2,aPTT in Blood by Coagulation assay,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.645106018874867,1.8602916445887305,-0.21518562571386357,-0.27583135410606424,2.0694137123572176,7.975653043044133,311.6041564941406
5898-2,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.6320210442715521,1.8548651169555082,-0.222844072683956,-0.28734785990720213,2.09523585749551,8.054230146407122,316.9671325683594
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,LOW,icd_183,Malignant neoplasm of ovary and other uterine adnexa,1.5235909703751835,1.9223365661015857,-0.3987455957264021,-0.5954739573038283,3.1604269356878945,7.576462220773919,1415.839599609375
718-7,Hemoglobin [Mass/volume] in Blood,LOW,icd_183,Malignant neoplasm of ovary and other uterine adnexa,1.512152658980178,1.9238168331006205,-0.41166417412044254,-0.5842586440000802,2.6345402945989917,8.55596487835328,1175.45703125
789-8,Erythrocytes [#/volume] in Blood by Automated count,LOW,icd_183,Malignant neoplasm of ovary and other uterine adnexa,1.4135030876619965,1.9980902040727582,-0.5845871164107617,-0.8401599973541126,2.6599397233375157,9.242524364326528,1291.944091796875
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,LOW,icd_174,Malignant neoplasm of female breast,-0.46499004870999605,0.2991679718931789,-0.764158020603175,-0.9733828694633938,2.092221227029569,7.228112629928887,1415.839599609375
5902-2,Prothrombin time (PT),HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.1076346449639016,2.1043671582263195,-0.9967325132624179,-1.3440850375949844,2.29620377664466,8.739428794999583,676.9713134765625
