cohort,cancer,source,target,a,lcb,expected
cancer,icd_191,icd_431,icd_345,3.6668914871782294,3.530494855586408,1.8118029457373552
cancer,icd_191,icd_345,icd_431,2.1968109805779195,1.5701093101113632,0.1835905514909797
cancer,icd_191,icd_784,icd_432,2.000361286262304,1.6515990497556836,0.9389292245777057
cancer,icd_191,icd_432,icd_331,2.5256028790738836,2.070002228671409,0.23322964972637905
cancer,icd_191,icd_331,icd_432,2.330572466602656,1.509069243919087,0.12124571376503823
cancer,icd_191,icd_432,icd_345,2.1003946395529804,1.3787418405612297,0.3261622700464013
cancer,icd_191,icd_368,icd_784,1.5515972881706301,1.2965675011050082,0.5822067196231444
cancer,icd_191,icd_784,icd_368,1.9119614332211448,1.7860867649656529,1.8878300504642027
cancer,icd_191,icd_784,icd_331,1.2578957611129231,0.8561820676486056,1.011313198737085
cancer,icd_191,icd_784,icd_345,1.2866159922035922,0.8824852836980904,2.22676499310964
cancer,icd_191,icd_759,icd_345,3.530268859833716,3.3615778399626377,1.3844198898819968
control,icd_183,icd_620,icd_568,2.310531210224771,2.285443664727984,3.741345068858834
control,icd_183,icd_568,icd_620,1.7425287267039749,1.521841794714088,2.1749536814452597
control,icd_183,icd_620,icd_V72,1.0973599535332843,1.0689885442133664,104.08281604689
control,icd_183,icd_V72,icd_620,0.6457552231717055,0.6016171146869523,122.65763627335946
control,icd_183,icd_620,icd_789,1.188652127968422,1.1555565802131693,71.48651172957761
control,icd_183,icd_789,icd_620,1.1748604601151231,1.1435233872653827,149.3864109203423
control,icd_183,icd_620,icd_625,1.6919683911459753,1.6547730281560675,80.02111583276019
control,icd_183,icd_625,icd_620,2.3851477971664643,2.369197414530434,172.86691487751523
control,icd_183,icd_V72,icd_568,1.09843155437843,1.0703767948365805,9.168760987376231
control,icd_183,icd_568,icd_789,1.921092136619316,1.8418235974509445,7.251743071378542
control,icd_183,icd_789,icd_568,2.002283590790842,1.988590521857289,16.243425443225306
control,icd_183,icd_625,icd_568,1.643380425675435,1.6099066889769178,3.91370137516833
control,icd_183,icd_625,icd_V72,0.8571312518849492,0.8324301000196997,166.8586323133859
control,icd_183,icd_789,icd_625,0.8972691458880716,0.8642478006790213,213.59501769866256
control,icd_183,icd_625,icd_789,0.9841218401689638,0.9563181665984265,118.76745215098344
control,icd_157,icd_577,icd_576,3.8921889261670013,3.8714693494363575,30.328095615519942
control,icd_157,icd_576,icd_577,3.3148488158230607,3.2612351787863174,11.335414281417968
control,icd_157,icd_577,icd_452,3.009769530537644,2.863343764910253,0.8059292103105093
control,icd_157,icd_452,icd_577,1.699530638988299,0.6473700008271688,0.1443382308614467
control,icd_157,icd_577,icd_751,2.614280285334956,2.536937254082701,0.7121649640789229
control,icd_157,icd_751,icd_577,2.990330967152884,2.8274016261603365,1.922540824614103
control,icd_157,icd_577,icd_573,1.7956283139811657,1.7414555644303098,7.736063977239951
control,icd_157,icd_573,icd_577,1.7399484730984172,1.5935649818140436,7.038569998257344
control,icd_157,icd_577,icd_537,2.3661804925040033,2.307730212971338,3.099957369599906
control,icd_157,icd_537,icd_577,2.0159659899974454,1.7719156510313918,2.056096967753618
control,icd_157,icd_577,icd_531,1.6837427613009885,1.4834233049650536,0.9918792461781578
control,icd_157,icd_531,icd_577,1.6368439622886228,1.1609430005003276,0.7745724798418152
control,icd_157,icd_577,icd_575,2.6995756325477616,2.648377383560743,11.481569001358594
control,icd_157,icd_575,icd_577,2.0383050459142544,1.8818480887028488,5.061949573168079
control,icd_157,icd_576,icd_452,3.4533656251532894,3.2906051845735305,0.4221591281684489
control,icd_157,icd_452,icd_576,2.117925874099252,1.2922697025165877,0.11073583648222751
control,icd_157,icd_576,icd_751,3.668442996008951,3.6217569694935503,0.6869506228876574
control,icd_157,icd_751,icd_576,4.04003332735539,3.9720279509115013,2.7730366928577865
control,icd_157,icd_576,icd_573,2.455985520809946,2.4075042316524797,5.033121481063034
control,icd_157,icd_573,icd_576,2.6547302362245073,2.584805433991189,8.870932646909182
control,icd_157,icd_576,icd_537,2.3142970033794144,2.2076614765579596,0.9893524552173147
control,icd_157,icd_537,icd_576,2.071686511973633,1.796451215375773,1.0975969048184098
control,icd_157,icd_576,icd_531,1.3597449952904133,0.8799938236829641,0.241144040199055
control,icd_157,icd_531,icd_576,1.725916859295328,1.2068103417480458,0.4275098811578495
control,icd_157,icd_576,icd_575,3.58936446855745,3.5529388207292807,9.396361237307133
control,icd_157,icd_575,icd_576,3.281462148548401,3.227644785222971,8.85960319872737
control,icd_157,icd_452,icd_573,1.8397143849145152,1.4893658751881511,0.17404520361188247
control,icd_157,icd_573,icd_452,3.0584829921607017,2.921933371583522,0.8530969933357113
control,icd_157,icd_537,icd_452,3.054485517299476,2.753263423364949,0.1883425988209897
control,icd_157,icd_531,icd_452,3.242215105496415,2.9089856928233937,0.125068428112324
control,icd_157,icd_575,icd_452,1.8597001110885993,1.2074821603450265,0.1372879185779574
control,icd_157,icd_751,icd_573,2.01707706049121,1.8518894766493061,0.7613710792136175
control,icd_157,icd_573,icd_751,1.8501132309057675,1.6875120312010472,0.33438944188021935
control,icd_157,icd_751,icd_537,3.447622696808237,3.37220164241792,0.7209789080226336
control,icd_157,icd_537,icd_751,2.5123607397176375,2.328125207251609,0.1437306471354205
control,icd_157,icd_751,icd_531,1.9594169526047336,1.3808287102974852,0.1030588228501883
control,icd_157,icd_751,icd_575,2.823911723418157,2.6518726909232875,1.0254209877695786
control,icd_157,icd_575,icd_751,2.2731803635665755,2.119766212292096,0.2724250501163272
control,icd_157,icd_573,icd_537,0.988589136927354,0.7616570468726881,0.7881718318210176
control,icd_157,icd_537,icd_573,0.9176939635237594,0.6373106649062485,0.7185711429016806
control,icd_157,icd_573,icd_531,1.1036629833305402,0.7533329452439181,0.5598595215049897
