cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
control,icd_205,Myeloid leukemia,cross_modal,7,lab_3255-7_HIGH,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay - high,lab,3.371493551386115,3.304801522756364,3.0437025716390864,1.3685260142208762,primary
control,icd_205,Myeloid leukemia,cross_modal,8,lab_4679-7_HIGH,Reticulocytes/Erythrocytes in Blood - high,lab,3.343371805492941,3.2503072086319857,2.561841664205649,0.5477098188839875,primary
control,icd_205,Myeloid leukemia,cross_modal,9,med_7597,nystatin,med,3.2271845486034096,3.1383584609981967,2.047750136393211,0.6410348911206043,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,1,icd_620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",icd,2.624650908445968,2.591510614221475,3.4728107081715396,26.490728509102155,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,2,icd_568,Other disorders of peritoneum,icd,2.2782062824770337,2.042811728958209,2.331907295127267,0.9059230361092148,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,3,icd_V72,Special investigations and examinations,icd,2.0114884050642488,1.9912678057220354,1.3158644671704125,119.95659269991393,secondary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,4,icd_789,Other symptoms involving abdomen and pelvis,icd,1.6409535898888674,1.6054859626396036,1.7999668409839977,58.8017053531953,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,5,icd_625,Pain and other symptoms associated with female genital organs,icd,1.2860707062317838,1.1994588515962608,2.54842113959812,14.14082754294111,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,1,lab_2039-6_HIGH,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - high,lab,3.544926412345152,3.406205925161722,1.7664013785799002,0.6155240474316095,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,2,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,2.9800391309666687,2.9560192774234793,2.625243639057683,42.40787840213898,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,3,med_36709,sodium phosphate,med,2.98139717112096,2.7760399636391986,1.6458117064006106,0.6640538460267464,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,4,med_52356,magnesium citrate,med,2.9971832346903926,2.7425423251164145,1.9030272639751649,0.46997752677394544,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,5,lab_2336-6_HIGH,Globulin [Mass/volume] in Serum - high,lab,2.7074601073461295,2.636560027909456,1.8092839203559463,6.143873517275949,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,6,med_7300,neomycin,med,2.777031952818364,2.5398190340552005,1.1466587065958094,0.4757783466055798,secondary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,7,med_325514,indigotindisulfonate,med,2.714898540393297,2.4767921548272973,1.9481953095543028,0.9166614038227507,primary
